city_en,city_cn,aqi,pm25,pm10,o3,no2,so2,co,dominent,update_time,fetch_time,level,color
xian,西安,176,176,96,21.2,19.2,5.1,8.2,pm25,2025-12-09 15:00:00,2025-12-09 15:34:13,中度污染,#ff0000
chongqing,重庆,174,174,83,2.5,27.0,4.1,10.0,pm25,2025-12-09 15:00:00,2025-12-09 15:34:10,中度污染,#ff0000
zhengzhou,郑州,171,171,93,35.4,17.4,3.6,4.6,pm25,2025-12-09 15:00:00,2025-12-09 15:34:14,中度污染,#ff0000
changsha,长沙,171,171,90,55.2,13.8,2.6,5.5,pm25,2025-12-09 15:00:00,2025-12-09 15:34:14,中度污染,#ff0000
wuhan,武汉,169,169,77,,23.8,5.6,10.0,pm25,2025-12-09 15:00:00,2025-12-09 15:34:12,中度污染,#ff0000
chengdu,成都,159,159,77,17.9,16.5,2.1,8.2,pm25,2025-12-09 15:00:00,2025-12-09 15:34:13,中度污染,#ff0000
tianjin,天津,157,157,83,27.0,17.4,7.1,6.4,pm25,2025-12-09 15:00:00,2025-12-09 15:34:10,中度污染,#ff0000
taiyuan,太原,157,157,90,18.7,28.4,16.3,9.1,pm25,2025-12-09 15:00:00,2025-12-09 15:34:16,中度污染,#ff0000
changchun,长春,122,122,51,25.2,6.4,5.1,3.7,pm25,2025-12-09 15:00:00,2025-12-09 15:34:15,轻度污染,#ff9900
shijiazhuang,石家庄,122,122,59,16.3,17.4,4.6,7.3,pm25,2025-12-09 15:00:00,2025-12-09 15:34:16,轻度污染,#ff9900
jinan,济南,117,117,69,37.4,7.8,2.6,0.1,pm25,2025-12-09 15:00:00,2025-12-09 15:34:17,轻度污染,#ff9900
shenzhen,深圳,112,112,56,84.5,13.3,5.1,6.4,pm25,2025-12-09 15:00:00,2025-12-09 15:34:11,轻度污染,#ff9900
beijing,北京,93,93,54,13.0,16.0,2.6,6.4,pm25,2025-12-09 15:00:00,2025-12-09 15:34:09,良,#ffff00
shenyang,沈阳,91,91,31,19.9,11.5,12.7,3.7,pm25,2025-12-09 15:00:00,2025-12-09 15:34:15,良,#ffff00
hefei,合肥,87,87,65,35.0,10.6,5.1,4.6,pm25,2025-12-09 15:00:00,2025-12-09 15:34:17,良,#ffff00
harbin,哈尔滨,72,72,35,18.7,5.5,5.1,6.4,pm25,2025-12-09 15:00:00,2025-12-09 15:34:16,良,#ffff00
hangzhou,杭州,70,70,48,55.8,9.2,5.1,3.7,pm25,2025-12-09 15:00:00,2025-12-09 15:34:12,良,#ffff00
nanjing,南京,61,61,56,36.6,4.6,1.6,2.8,pm25,2025-12-09 15:00:00,2025-12-09 15:34:12,良,#ffff00
shanghai,上海,53,53,40,33.3,10.6,4.6,4.6,pm25,2025-12-09 15:00:00,2025-12-09 15:34:09,良,#ffff00
